ss600892,*ST宝诚
ss600893,航空动力
ss600894,广钢股份
ss600895,张江高科
ss600896,中海海盛
ss600897,厦门空港
ss600900,长江电力
ss600960,滨州活塞
ss600961,株冶集团
ss600962,国投中鲁
ss600963,岳阳纸业
ss600965,福成五丰
ss600966,博汇纸业
ss600967,北方创业
ss600969,郴电国际
ss600970,中材国际
ss600971,恒源煤电
ss600973,宝胜股份
ss600975,新五丰
ss600976,武汉健民
ss600978,宜华木业
ss600979,广安爱众
ss600980,北矿磁材
ss600981,江苏开元
ss600982,宁波热电
ss600983,合肥三洋
ss600984,*ST建机
ss600985,雷鸣科化
ss600986,科达股份
ss600987,航民股份
ss600988,*ST宝龙
ss600990,四创电子
ss600991,广汽长丰
ss600992,贵绳股份
ss600993,马应龙
ss600995,文山电力
ss600997,开滦股份
ss600998,九州通
ss600999,招商证券
ss601000,唐山港
ss601001,大同煤业
ss601002,晋亿实业
ss601003,柳钢股份
ss601005,重庆钢铁
ss601006,大秦铁路
ss601007,金陵饭店
ss601008,连云港
ss601009,南京银行
ss601011,宝泰隆
ss601018,宁波港
ss601088,中国神华
ss601098,中南传媒
ss601099,太平洋
ss601101,昊华能源
ss601106,中国一重
ss601107,四川成渝
ss601111,中国国航
ss601116,三江购物
ss601117,中国化学
ss601118,海南橡胶
ss601126,四方股份
ss601137,博威合金
ss601139,深圳燃气
ss601158,重庆水务
ss601166,兴业银行
ss601168,西部矿业
ss601169,北京银行
ss601177,杭齿前进
ss601179,中国西电
ss601186,中国铁建
ss601188,龙江交通
ss601216,内蒙君正
ss601268,二重重装
ss601288,农业银行
ss601299,中国北车
ss601318,中国平安
ss601328,交通银行
ss601333,广深铁路
ss601369,陕鼓动力
ss601377,兴业证券
ss601390,中国中铁
ss601398,工商银行
ss601518,吉林高速
ss601519,大智慧
ss601558,华锐风电
ss601588,北辰实业
ss601600,中国铝业
ss601601,中国太保
ss601607,上海医药
ss601616,广电电气
ss601618,中国中冶
ss601628,中国人寿
ss601666,平煤股份
ss601668,中国建筑
ss601678,DR滨化股
ss601688,华泰证券
ss601699,潞安环能
ss601700,风范股份
ss601717,郑煤机
ss601718,际华集团
ss601727,上海电气
ss601766,中国南车
ss601777,力帆股份
ss601788,光大证券
ss601799,星宇股份
ss601801,皖新传媒
ss601808,中海油服
ss601818,光大银行
ss601857,中国石油
ss601866,中海集运
ss601872,招商轮船
ss601877,正泰电器
ss601880,大连港
ss601888,中国国旅
ss601890,亚星锚链
ss601898,中煤能源
ss601899,紫金矿业
ss601918,国投新集
ss601919,中国远洋
ss601933,永辉超市
ss601939,建设银行
ss601958,金钼股份
ss601988,中国银行
ss601989,中国重工
ss601991,大唐发电
ss601992,金隅股份
ss601998,中信银行
ss601999,出版传媒
sz000001,深发展Ａ
sz000002,万科Ａ
sz000004,ST国农
sz000005,世纪星源
sz000006,深振业Ａ
sz000007,ST零七
sz000008,ST宝利来
sz000009,中国宝安
sz000010,SST华新
sz000011,深物业A
sz000012,南玻Ａ
sz000014,沙河股份
sz000016,深康佳Ａ
sz000017,*ST中华A
sz000018,ST中冠A
sz000019,深深宝Ａ
sz000020,深华发Ａ
sz000021,长城开发
sz000022,深赤湾Ａ
sz000023,深天地Ａ
sz000024,招商地产
sz000025,特力Ａ
sz000026,飞亚达Ａ
sz000027,深圳能源
sz000028,一致药业
sz000029,深深房Ａ
sz000030,*ST盛润A
sz000031,中粮地产
sz000032,深桑达Ａ
sz000033,新都酒店
sz000034,ST深泰
sz000035,*ST科健
sz000036,华联控股
sz000037,深南电Ａ
sz000039,中集集团
sz000040,深鸿基
sz000042,深长城
sz000043,中航地产
sz000045,深纺织Ａ
sz000046,泛海建设
sz000048,ST康达尔
sz000049,德赛电池
sz000050,深天马Ａ
sz000055,方大集团
sz000056,深国商
sz000058,深赛格
sz000059,辽通化工
sz000060,中金岭南
sz000061,农产品
sz000062,深圳华强
sz000063,中兴通讯
sz000065,北方国际
sz000066,长城电脑
sz000068,ST三星
sz000069,华侨城Ａ
sz000070,特发信息
sz000078,海王生物
sz000088,盐田港
sz000089,深圳机场
sz000090,深天健
sz000096,广聚能源
sz000099,中信海直
sz000100,TCL集团
sz000150,宜华地产
sz000151,中成股份
sz000153,丰原药业
sz000155,川化股份
sz000157,中联重科
sz000158,常山股份
sz000159,国际实业
sz000301,东方市场
sz000338,潍柴动力
sz000400,许继电气
sz000401,冀东水泥
sz000402,金融街
sz000404,华意压缩
sz000407,胜利股份
sz000408,*ST金谷
sz000409,ST泰复
sz000410,沈阳机床
sz000411,英特集团
sz000413,宝石Ａ
sz000415,*ST汇通
sz000416,民生投资
sz000417,合肥百货
sz000418,小天鹅Ａ
sz000419,通程控股
sz000420,吉林化纤
sz000421,南京中北
sz000422,湖北宜化
sz000423,东阿阿胶
sz000425,徐工机械
sz000426,富龙热电
sz000428,华天酒店
sz000429,粤高速Ａ
sz000430,*ST张股
sz000488,晨鸣纸业
sz000501,鄂武商Ａ
sz000502,绿景地产
sz000503,海虹控股
sz000504,*ST传媒
sz000505,ST珠江
sz000506,中润投资
sz000507,珠海港
sz000509,S*ST华塑
sz000510,金路集团
sz000511,银基发展
sz000513,丽珠集团
sz000514,渝开发
sz000516,开元控股
sz000517,荣安地产
sz000518,四环生物
sz000519,江南红箭
sz000520,长航凤凰
sz000521,美菱电器
sz000522,白云山Ａ
sz000523,广州浪奇
sz000524,东方宾馆
sz000525,红太阳
sz000526,旭飞投资
sz000527,美的电器
sz000528,柳工
sz000529,广弘控股
sz000530,大冷股份
sz000531,穗恒运Ａ
sz000532,力合股份
sz000533,万家乐
sz000534,万泽股份
sz000536,华映科技
sz000537,广宇发展
sz000538,云南白药
sz000539,粤电力Ａ
sz000540,中天城投
sz000541,佛山照明
sz000543,皖能电力
sz000544,中原环保
sz000545,吉林制药
sz000546,光华控股
sz000547,闽福发Ａ
sz000548,湖南投资
sz000550,江铃汽车
sz000551,创元科技
sz000552,靖远煤电
sz000553,沙隆达Ａ
sz000554,泰山石油
sz000555,ST太光
sz000557,*ST广夏
sz000558,莱茵置业
sz000559,万向钱潮
sz000560,昆百大Ａ
sz000561,烽火电子
sz000562,宏源证券
sz000563,陕国投Ａ
sz000564,西安民生
sz000565,渝三峡Ａ
sz000566,海南海药
sz000567,海德股份
sz000568,泸州老窖
sz000570,苏常柴Ａ
sz000571,新大洲Ａ
sz000572,海马股份
sz000573,粤宏远Ａ
sz000576,ST甘化
sz000578,盐湖集团
sz000581,威孚高科
sz000582,北海港
sz000584,友利控股
sz000585,东北电气
sz000586,ST汇源
sz000587,S*ST光明
sz000589,黔轮胎Ａ
sz000590,紫光古汉
sz000591,桐君阁
sz000592,中福实业
sz000593,大通燃气
sz000594,国恒铁路
sz000595,西北轴承
sz000596,古井贡酒
sz000597,东北制药
sz000598,兴蓉投资
sz000599,青岛双星
sz000600,建投能源
sz000601,韶能股份
sz000602,*ST金马
sz000603,*ST威达
sz000605,ST四环
sz000606,青海明胶
sz000607,华智控股
sz000608,阳光股份
sz000609,绵世股份
sz000610,西安旅游
sz000611,时代科技
sz000612,焦作万方
sz000613,ST东海Ａ
sz000615,湖北金环
sz000616,亿城股份
sz000617,石油济柴
sz000619,海螺型材
sz000623,吉林敖东
sz000625,长安汽车
sz000626,如意集团
sz000627,天茂集团
sz000628,高新发展
sz000629,*ST钒钛
sz000630,铜陵有色
sz000631,顺发恒业
sz000632,三木集团
sz000633,ST合金
sz000635,英力特
sz000636,风华高科
sz000637,茂化实华
sz000638,万方地产
sz000639,西王食品
sz000650,仁和药业
sz000651,格力电器
sz000652,泰达股份
sz000655,金岭矿业
sz000656,ST东源
sz000659,珠海中富
sz000661,长春高新
sz000662,索芙特
sz000663,永安林业
sz000665,武汉塑料
sz000666,经纬纺机
sz000667,名流置业
sz000668,荣丰控股
sz000669,领先科技
sz000671,阳光城
sz000673,*ST大水
sz000676,*ST思达
sz000677,山东海龙
sz000678,襄阳轴承
sz000679,大连友谊
sz000680,山推股份
sz000682,东方电子
sz000683,远兴能源
sz000685,中山公用
sz000686,东北证券
sz000687,保定天鹅
sz000690,宝新能源
sz000691,*ST亚太
sz000692,惠天热电
sz000695,滨海能源
sz000697,*ST偏转
sz000698,沈阳化工
sz000700,模塑科技
sz000701,厦门信达
sz000702,正虹科技
sz000703,*ST光华
sz000705,浙江震元
sz000707,双环科技
sz000708,大冶特钢
sz000709,河北钢铁
sz000710,天兴仪表
sz000711,天伦置业
sz000712,锦龙股份
sz000713,丰乐种业
sz000715,中兴商业
sz000716,*ST南方
sz000717,韶钢松山
sz000718,苏宁环球
sz000720,ST能山
sz000721,西安饮食
sz000723,美锦能源
sz000725,京东方Ａ
sz000726,鲁泰Ａ
sz000727,华东科技
sz000728,国元证券
sz000729,燕京啤酒
sz000731,四川美丰
sz000732,ST三农
sz000733,振华科技
sz000735,罗牛山
sz000736,ST重实
sz000737,南风化工
sz000738,中航动控
sz000739,普洛股份
sz000748,长城信息
sz000750,SST集琦
sz000751,锌业股份
sz000752,西藏发展
sz000753,漳州发展
sz000755,山西三维
sz000756,新华制药
sz000758,中色股份
sz000759,武汉中百
sz000760,*ST博盈
sz000761,本钢板材
